Word,Frequency
lights,15155
light,14959
sky,14338
object,12530
bright,11100
moving,7810
orange,7560
white,6860
red,6775
shaped,5981
saw,5642
seen,4776
craft,4561
like,4541
flying,4244
ufo,4231
two,3726
large,3698
objects,3480
night,3252
quot,3091
green,3075
one,3006
across,2999
hovering,2949
triangle,2910
north,2905
fast,2780
blue,2768
star,2763
south,2665
west,2657
east,2653
shape,2646
formation,2463
high,2459
slowly,2293
speed,2260
three,2258
nuforc,2214
note,2207
pd,2190
triangular,2189
low,2159
glowing,2120
fireball,2072
sighting,2035
sound,1997
ball,1996
looked,1934
